question,answer
what is the genre for The Predator?,"The Predator belongs to the genres of Horror, Drama, and Mystery."
what is the runtime of The Predator?,The runtime of The Predator 97 minutes.
what is The Predator rated for?,The Predator is rated R.
what is the rating for The Predator?,The movie has a rating of 6.9.
what is the summary of The Predator?,A group of elite soldiers faces a deadly alien threat in a mission that goes awry.
what is the genre for Indiana Jones and the Last Crusade?,"Indiana Jones and the Last Crusade belongs to the genres of Action, Adventure, and Fantasy."
what is the runtime of Indiana Jones and the Last Crusade?,The runtime of Indiana Jones and the Last Crusade 97 minutes.
what is Indiana Jones and the Last Crusade rated for?,Indiana Jones and the Last Crusade is rated PG.
what is the rating for Indiana Jones and the Last Crusade?,The movie has a rating of 9.3.
what is the summary of Indiana Jones and the Last Crusade?,"Indiana Jones embarks on a quest to find his missing father and the Holy Grail, facing Nazis and ancient traps."
what is the genre for Die Hard?,"Die Hard belongs to the genres of Action, Adventure, Comedy, and Science Fiction."
what is the runtime of Die Hard?,The runtime of Die Hard is 93 minutes.
what is Die Hard rated for?,Die Hard is rated R.
what is the rating for Die Hard?,The movie has a rating of 5.3.
what is the summary of Die Hard?,NYPD officer John McClane battles terrorists who take hostages in a Los Angeles skyscraper on Christmas Eve.
what is the genre for Friends with Benefits?,"Friends with Benefits belongs to the genres of Fantasy, Action, Science Fiction, Thriller, and Horror."
what is the runtime of Friends with Benefits?,The runtime of Friends with Benefits 99 minutes.
what is Friends with Benefits rated for?,Friends with Benefits is rated R.
what is the rating for Friends with Benefits?,The movie has a rating of 7.7.
what is the summary of Friends with Benefits?,"Two friends attempt to maintain a casual, no-strings-attached relationship, only to find complications and feelings arising."
what is the genre for She Said?,She Said belongs to the genre for Comedy.
what is the runtime of She Said?,The runtime of She Said is 99 minutes.
what is She Said rated for?,She Said is rated NC
what is the rating for She Said?,The movie has a rating of 8.7.
what is the summary of She Said?,The investigation into sexual harassment allegations against media mogul Harvey Weinstein and the #MeToo movement.
what is the genre for Tears of the Sun?,"Tears of the Sun belongs to the genres of Horror, Mystery, and Thriller."
what is the runtime of Tears of the Sun?,The runtime of Tears of the Sun is 90 minutes.
what is Tears of the Sun rated for?,Tears of the Sun is rated R.
what is the rating for Tears of the Sun?,The movie has a rating of 6.
what is the summary of Tears of the Sun?,"A team of Navy SEALs rescues a doctor in war-torn Nigeria, facing moral dilemmas and intense combat."
what is the genre for Se7en?,"Se7en belongs to the genres of Fantasy, Action, Comedy, and Crime."
what is the runtime of Se7en?,The runtime of Se7en is 97 minutes.
what is Se7en rated for?,Se7en is rated M.
what is the rating for Se7en?,The movie has a rating of 9.5.
what is the summary of Se7en?,Detectives Mills and Somerset hunt a serial killer who uses the seven deadly sins as his motives.
what is the genre for Planet of the Apes?,"Planet of the Apes belongs to the genres of Action, Crime, and Thriller."
what is the runtime of Planet of the Apes?,The runtime of Planet of the Apes is 99 minutes.
what is Planet of the Apes rated for?,Planet of the Apes is rated PG
what is the rating for Planet of the Apes?,The movie has a rating of 5.2.
what is the summary of Planet of the Apes?,"Astronauts crash-land on a planet ruled by intelligent apes, leading to a battle for survival."
what is the genre for The Heat?,"The Heat belongs to the genres of Action, Adventure, and Comedy."
what is the runtime of The Heat?,The runtime of The Heat 97 minutes.
what is The Heat rated for?,The Heat is rated R.
what is the rating for The Heat?,The movie has a rating of 7.5.
what is the summary of The Heat?,"An uptight FBI agent partners with a Boston cop to take down a drug lord, leading to comedic clashes and unexpected alliances."
what is the genre for Midsommar?,"Midsommar belongs to the genres of Family, Adventure, Drama, and Fantasy."
what is the runtime of Midsommar?,The runtime of Midsommar is  97 minutes.
what is Midsommar rated for?,Midsommar is rated R2
what is the rating for Midsommar?,The movie has a rating of 8.4.
what is the summary of Midsommar?,A couple travels to Sweden for a rural festival that takes a sinister turn.
what is the genre for Gods of Egypt ?,"Gods of Egypt belongs to the genres of History, War, Drama, and Adventure."
what is the runtime of Gods of Egypt?,The runtime of Gods of Egypt 97 minutes.
what is Gods of Egypt rated for?,Gods of Egypt is rated PG.
what is the rating for Gods of Egypt?,The movie has a rating of 6.7.
what is the summary of Gods of Egypt?,A mortal hero named Bek joins forces with the god Horus to challenge the tyrannical rule of Set and restore balance to the divine and mortal realms in ancient Egypt.
